CNPJ Industria;Razao Social;Nome Fantasia;Codigo Interno;Nome do representante;Telefone do representante;E-mail do representante;WhatsApp do representante;Segmento;Faturamento
45.985.371/0001-08;3M DO BRASIL;3M DO BRASIL;7133;;;;;;
56.998.701/0033-01;ABBOTT - GENERICO;ABBOTT - GENERICO;5002;;;;;;
56.998.701/0033-01;ABBOTT - NUTRICAO;ABBOTT - NUTRICAO;8127;;;;;;
56.998.701/0033-01;ABBOTT - RX;ABBOTT - RX;5002;;;;;;
06.105.362/0001-23;ACCUMED - GTECH;ACCUMED - GTECH;9312;;;;;;
60.659.463/0001-91;ACHE - DERMO;ACHE - DERMO;5003;;;;;;
60.659.463/0001-91;ACHE - GENERICO I;ACHE - GENERICO I;6290;;;;;;
07.863.523/0001-00;ACHE - GENERICO II;ACHE - GENERICO II;6290;;;;;;
60.659.463/0001-91;ACHE - OTC I;ACHE - OTC I;5003;;;;;;
07.863.523/0017-78;ACHE - OTC II;ACHE - OTC II;5003;;;;;;
60.659.463/0001-91;ACHE - RX I;ACHE - RX I;5003;;;;;;
07.863.523/0017-78;ACHE - RX II;ACHE - RX II;5003;;;;;;
60.659.463/0001-91;ACHE - SANOFI RX;ACHE - SANOFI RX;5003;;;;;;
55.980.684/0001-27;ADIUM - ZODIAC I;ADIUM - ZODIAC I;5184;;;;;;
55.980.684/0006-31;ADIUM - ZODIAC II;ADIUM - ZODIAC II;5184;;;;;;
60.879.848/0001-64;ADV - TAYUYNA - MED;ADV - TAYUYNA - MED;9430;;;;;;
32.929.819/0002-05;ALCON - OTC I;ALCON - OTC I;9251;;;;;;
32.929.819/0004-77;ALCON - OTC II;ALCON - OTC II;9251;;;;;;
32.929.819/0004-77;ALCON - RX I;ALCON - RX I;9251;;;;;;
48.344.725/0008-08;ALTHAIA - EQUALIV;ALTHAIA - EQUALIV;9203;;;;;;
48.344.725/0008-08;ALTHAIA - GENERICO;ALTHAIA - GENERICO;9203;;;;;;
49.345.358/0001-45;APISFLORA;APISFLORA;7539;;;;;;
02.943.733/0001-95;APISVIDA;APISVIDA;9424;;;;;;
19.525.260/0001-09;APOLO - ALGODOES;APOLO - ALGODOES;5400;;;;;;
62.462.015/0015-24;APSEN;APSEN;5012;;;;;;
07.670.111/0004-05;ARESE PHARMA;ARESE PHARMA;8998;;;;;;
04.307.311/0001-59;ARESE PHARMA - LIBERADOS;ARESE PHARMA - LIBERADOS;8998;;;;;;
02.433.631/0001-20;ASPEN I;ASPEN I;5061;;;;;;
17.008.753/0001-46;ASPEN II;ASPEN II;5061;;;;;;
61.150.447/0001-31;BALDACCI;BALDACCI;6348;;;;;;
05.855.974/0001-70;BASTON;BASTON;9342;;;;;;
27.011.022/0020-76;BAUSCH & LOMB - RX;BAUSCH & LOMB - RX;5260;;;;;;
27.011.022/0020-76;BAUSCH & LOMB (G);BAUSCH & LOMB (G);5260;;;;;;
18.459.628/0097-67;BAYER - RX;BAYER - RX;5333;;;;;;
18.459.628/0097-67;BAYERSCHERING - OTC;BAYERSCHERING - OTC;6960;;;;;;
18.459.628/0097-67;BAYERSCHERING - OTC - BEPANTOL;BAYERSCHERING - OTC - BEPANTOL;6960;;;;;;
21.551.379/0008-74;BD;BD;5254;;;;;;
46.389.383/0005-66;BDF EUCERIN;BDF EUCERIN;8997;;;;;;
46.389.383/0005-66;BDF NIVEA;BDF NIVEA;5255;;;;;;
46.389.383/0005-66;BDF NIVEA - SOLAR;BDF NIVEA - SOLAR;5255;;;;;;
32.306.307/0001-01;BEAUTY LABS COSMETICOS LTDA;BEAUTY LABS COSMETICOS LTDA;803917;;;;;;
14.590.963/0003-69;BIODERMA;BIODERMA;9105;;;;;;
33.150.764/0006-27;BIOLAB - GENERICO;BIOLAB - GENERICO;9294;;;;;;
49.475.833/0017-65;BIOLAB - LIBERADOS;BIOLAB - LIBERADOS;6899;;;;;;
49.475.833/0016-84;BIOLAB - OTC;BIOLAB - OTC;6899;;;;;;
49.475.833/0017-65;BIOLAB - OTC I;BIOLAB - OTC I;6899;;;;;;
33.150.764/0006-27;BIOLAB - OTC II;BIOLAB - OTC II;9294;;;;;;
49.475.833/0017-65;BIOLAB - RX - FARMA POPULAR;BIOLAB - RX - FARMA POPULAR;6899;;;;;;
49.475.833/0017-65;BIOLAB - RX I;BIOLAB - RX I;6899;;;;;;
49.475.833/0017-65;BIOLAB - RX II;BIOLAB - RX II;6899;;;;;;
58.430.828/0001-60;BLAU - HB;BLAU - HB;9436;;;;;;
58.430.828/0001-60;BLAU - MED;BLAU - MED;9436;;;;;;
59.548.214/0001-40;BLOWTEX;BLOWTEX;5847;;;;;;
60.831.658/0021-10;BOEHRINGER - RX;BOEHRINGER - RX;5257;;;;;;
07.498.711/0003-49;BOIRON;BOIRON;9158;;;;;;
18.688.481/0001-35;BRAVIR - MED;BRAVIR - MED;9443;;;;;;
43.587.344/0008-28;BS BARUEL;BS BARUEL;5304;;;;;;
84.684.620/0006-91;CATARINENSE;CATARINENSE;6353;;;;;;
14.626.301/0006-44;CELLERA - DELTA;CELLERA - DELTA;9310;;;;;;
33.173.097/0004-36;CELLERA I;CELLERA I;9310;;;;;;
33.173.097/0005-17;CELLERA II;CELLERA II;9310;;;;;;
33.122.466/0007-04;CERAS JOHNSON I;CERAS JOHNSON I;5521;;;;;;
33.122.466/0008-95;CERAS JOHNSON II;CERAS JOHNSON II;5521;;;;;;
02.814.497/0007-00;CIMED;CIMED;5572;;;;;;
00.382.468/0033-75;COLGATE;COLGATE;6357;;;;;;
86.046.448/0019-90;CONDOR;CONDOR;8245;;;;;;
00.075.511/0001-72;CONSIGLIO & NATHAN LTDA;CONSIGLIO & NATHAN LTDA;787383;;;;;;
20.057.714/0001-43;DELTA;DELTA;9310;;;;;;
82.641.325/0043-77;CREMER - HB;CREMER - HB;9401;;;;;;
82.641.325/0021-61;CREMER - MED;CREMER - MED;9401;;;;;;
22.137.853/0001-02;COTY;COTY;9038;;;;;;
44.734.671/0025-29;CRISTALIA I;CRISTALIA I;5347;;;;;;
07.791.616/0001-77;CURAPROX;CURAPROX;8850;;;;;;
61.105.722/0005-29;DANA;DANA;9219;;;;;;
